300100,IBM,USA,Chicago
300101,MICROSOFT,Germany,Munchen
300102,FACEBOOK,USA,Mendecino
300103,GOOGLE,China,Beijing
300104,LinkedIn,France,Nice
300105,Bitcoin,Japan,Kyoto
300106,SodaStream,Israel,Beer Sheva
300107,AtoBe,Israel,Jerusalem
300108,AzrielliCollege,Israel,Jerusalem
300109,SmartOptions,Israel,Kfar Saba
300110,Social Security,Israel,Tel Aviv
300111,TheMossad,Israel,Haifa
300112,IDF,Israel,Eilat
300113,IAI,Israel,Tel Aviv
300114,Elbit,USA,New Orleans
300115,Intell,France,Paris
300116,Mobileye,China,Shenjen
300117,Orantech,France,Strasbourg
300118,GevSystems,Germany,Hamburg
300119,Asus,Germany,Berlin
300120,Ebay,USA,Denver
300121,RamiLevi,Israel,Holon
300122,McDonalds,USA,Atlanta
300123,SteelWorks,USA,Seatle
300124,IOS,USA,Philadelphia
300125,Android,China,Sheyan
300126,Orange,France,Marsei
300127,AT&T,Germany,Disseldorf
300128,HoffmanInc,Russia,Moscow
300129,CakesAnonimus,France,Lyon
